step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-0.0003,-0.0578,0.2048,0.0000,-0.0176,-0.0000,slope,18.0,0,5.399
20,0.64,0.2864,-0.0615,0.2288,0.0031,-0.0895,-0.0732,slope,18.0,0,5.175
30,0.96,0.6318,-0.1042,0.2626,0.0020,-0.1317,-0.2463,slope,18.0,0,4.887
40,1.28,0.9752,-0.2335,0.3340,0.0647,-0.2118,-0.3993,slope,18.0,0,4.549
50,1.60,1.3336,-0.4447,0.4320,0.1376,-0.2667,-0.6344,slope,18.0,0,4.146
60,1.92,1.6603,-0.7461,0.5713,0.1892,-0.3245,-0.8108,slope,18.0,0,3.702
70,2.24,1.9648,-1.1322,0.7274,0.2545,-0.3203,-0.9122,slope,18.0,0,3.213
80,2.56,2.2822,-1.5565,0.9061,0.2660,-0.3309,-0.9356,slope,18.0,0,2.690
90,2.88,2.5962,-1.9821,1.0759,0.2625,-0.3125,-0.8863,slope,18.0,0,2.171
100,3.20,2.9222,-2.3652,1.2310,0.2308,-0.3100,-0.8080,slope,18.0,0,1.675
110,3.52,3.2294,-2.6873,1.3676,0.2354,-0.3060,-0.7324,slope,18.0,0,1.236
120,3.84,3.5374,-2.9564,1.4879,0.2201,-0.2791,-0.6908,slope,18.0,1,6.869
130,4.16,3.7912,-3.2653,1.5814,0.3107,-0.1543,-1.0363,slope,18.0,1,6.794
140,4.48,3.8688,-3.6601,1.6082,0.3536,-0.0157,-1.4819,rough,14.0,1,6.558
150,4.80,3.7777,-4.0362,1.5642,0.3204,0.1286,-1.8587,slope,18.0,1,6.228
160,5.12,3.5479,-4.4635,1.4670,0.2812,0.2104,-2.1375,slope,18.0,1,5.768
170,5.44,3.2324,-4.8636,1.3380,0.2381,0.2717,-2.3052,slope,18.0,1,5.266
180,5.76,2.8733,-5.2228,1.1891,0.2097,0.2975,-2.4128,slope,18.0,1,4.759
190,6.08,2.4614,-5.5532,1.0215,0.1840,0.3123,-2.4841,slope,18.0,1,4.232
200,6.40,2.0296,-5.8724,0.8465,0.1733,0.3165,-2.5159,slope,18.0,1,3.697
210,6.72,1.5875,-6.1905,0.6689,0.1739,0.3135,-2.5134,slope,18.0,1,3.157
220,7.04,1.1612,-6.5167,0.4992,0.1912,0.2994,-2.4602,slope,18.0,1,2.623
230,7.36,0.7553,-6.8619,0.3397,0.2145,0.2807,-2.3926,slope,18.0,1,2.092
240,7.68,0.3894,-7.2221,0.1988,0.2093,0.2341,-2.3402,rough,14.0,1,1.579
250,8.00,0.1269,-7.5109,0.1273,0.1628,0.1650,-2.2476,slope,18.0,1,1.189
260,8.32,-0.1665,-7.9026,0.0693,0.0632,0.1081,-2.2415,slope,18.0,2,5.042
270,8.64,-0.4425,-8.2407,0.0495,-0.0115,0.0248,-2.3064,slope,18.0,2,5.155
280,8.96,-0.7056,-8.5067,0.0496,-0.0077,-0.0199,-2.4027,flat,18.0,2,5.245
290,9.28,-0.9560,-8.7162,0.0572,-0.0062,-0.0249,-2.5206,flat,18.0,2,5.315
300,9.60,-1.1938,-8.8866,0.0650,-0.0006,-0.0283,-2.6809,flat,18.0,2,5.372
310,9.92,-1.4236,-8.9984,0.0725,0.0059,-0.0303,-2.8668,flat,18.0,2,5.391
320,10.24,-1.6546,-9.0599,0.0800,0.0110,-0.0305,-3.0281,flat,18.0,2,5.375
330,10.56,-1.8818,-9.0895,0.0873,0.0142,-0.0313,3.1145,flat,18.0,2,5.339
340,10.88,-2.0903,-9.0929,0.0941,0.0194,-0.0292,2.9227,flat,18.0,2,5.291
350,11.20,-2.2966,-9.0519,0.1006,0.0229,-0.0284,2.7607,flat,18.0,2,5.209
360,11.52,-2.5030,-8.9690,0.1073,0.0257,-0.0278,2.6329,flat,18.0,2,5.092
370,11.84,-2.7161,-8.8460,0.1143,0.0272,-0.0274,2.5296,flat,18.0,2,4.941
380,12.16,-2.9414,-8.6775,0.1222,0.0285,-0.0287,2.4547,flat,18.0,2,4.753
390,12.48,-3.1873,-8.4641,0.1318,0.0297,-0.0297,2.3915,flat,18.0,2,4.528
400,12.80,-3.4595,-8.1985,0.1433,0.0307,-0.0307,2.3446,flat,18.0,2,4.265
410,13.12,-3.7673,-7.8738,0.1569,0.0312,-0.0309,2.3143,flat,18.0,2,3.967
420,13.44,-4.1224,-7.4816,0.1729,0.0311,-0.0292,2.3028,flat,18.0,2,3.643
430,13.76,-4.4412,-7.1021,0.1859,0.0359,-0.0188,2.1238,flat,18.0,2,3.371
440,14.08,-4.5989,-6.7544,0.1916,0.0341,-0.0105,1.9085,flat,18.0,2,3.110
450,14.40,-4.7115,-6.3784,0.1943,0.0307,0.0011,1.7426,flat,18.0,2,2.829
460,14.72,-4.7712,-5.9331,0.1935,0.0258,0.0065,1.6458,flat,18.0,2,2.491
470,15.04,-4.7877,-5.4685,0.1896,0.0217,0.0166,1.3736,flat,18.0,2,2.148
480,15.36,-4.6728,-5.0270,0.1849,0.0060,0.0109,1.0521,flat,18.0,2,1.768
490,15.68,-4.4245,-4.6379,0.1788,-0.0043,0.0143,0.9319,flat,18.0,2,1.341
500,16.00,-4.1536,-4.3185,0.1802,0.0005,-0.0015,0.8363,flat,18.0,3,10.841
510,16.32,-3.8737,-3.9775,0.1825,0.0008,-0.0101,1.0060,flat,18.0,3,10.434
520,16.64,-3.6238,-3.5245,0.1846,-0.0064,0.0139,1.2094,flat,18.0,3,9.930
530,16.96,-3.4593,-3.0283,0.1974,-0.0142,-0.0159,1.3327,flat,18.0,3,9.407
540,17.28,-3.3435,-2.4867,0.2060,-0.0222,-0.0140,1.4229,flat,18.0,3,8.855
550,17.60,-3.2635,-1.9189,0.2117,-0.0259,-0.0028,1.4318,flat,18.0,3,8.287
560,17.92,-3.1830,-1.3578,0.2182,-0.0255,-0.0082,1.4099,flat,18.0,3,7.726
570,18.24,-3.0901,-0.8039,0.2219,-0.0235,-0.0057,1.3684,flat,18.0,3,7.169
580,18.56,-2.9685,-0.2622,0.2234,-0.0157,-0.0043,1.3065,flat,18.0,3,6.616
590,18.88,-2.8184,0.2842,0.2254,-0.0170,-0.0017,1.2854,flat,18.0,3,6.050
600,19.20,-2.6556,0.8263,0.2256,-0.0123,0.0010,1.2596,flat,18.0,3,5.484
610,19.52,-2.4771,1.3594,0.2241,-0.0138,0.0047,1.2179,flat,18.0,3,4.922
620,19.84,-2.2777,1.8956,0.2202,-0.0144,0.0108,1.2057,flat,18.0,3,4.350
630,20.16,-2.0717,2.4339,0.2124,-0.0162,0.0201,1.2051,flat,18.0,3,3.775
640,20.48,-1.8675,2.9708,0.1995,-0.0129,0.0300,1.2122,flat,18.0,3,3.202
650,20.80,-1.6708,3.5090,0.1814,-0.0131,0.0405,1.2297,flat,18.0,3,2.630
660,21.12,-1.4943,4.0441,0.1588,-0.0010,0.0442,1.2725,flat,18.0,3,2.067
670,21.44,-1.3423,4.5673,0.1359,-0.0008,0.0444,1.2938,flat,18.0,3,1.523
680,21.76,-1.2160,5.0459,0.1143,0.0041,0.0435,1.3227,flat,18.0,3,1.028
690,22.08,-1.1262,5.4188,0.0988,0.0076,0.0400,1.3077,flat,18.0,0,10.326
700,22.40,-1.0732,5.6456,0.0897,0.0044,0.0394,1.1826,flat,18.0,0,10.493
710,22.72,-1.0091,5.8198,0.0828,-0.0137,0.0328,0.6697,transition,15.0,0,10.612
720,23.04,-0.7806,5.9492,0.0748,-0.0296,0.0207,0.0615,slope,18.0,0,10.615
730,23.36,-0.3883,5.9330,0.0700,-0.0049,-0.0331,-0.3345,slope,18.0,0,10.421
740,23.68,0.0551,5.7788,0.1272,0.0166,-0.1801,-0.3151,slope,18.0,0,10.092
750,24.00,0.4838,5.6296,0.2570,0.0669,-0.3374,-0.2856,slope,18.0,0,9.784
760,24.32,0.9503,5.4960,0.4320,0.0526,-0.3466,-0.2603,slope,18.0,0,9.489
770,24.64,1.4124,5.3743,0.6056,0.0421,-0.3540,-0.2218,slope,18.0,0,9.223
780,24.96,1.8816,5.2732,0.7827,0.0405,-0.3561,-0.2127,slope,18.0,0,8.993
790,25.28,2.3032,5.1838,0.9467,0.0671,-0.3628,-0.3093,slope,18.0,0,8.805
800,25.60,2.2791,5.1205,0.9360,0.0997,-0.3421,-0.3834,slope,18.0,0,8.748
810,25.92,2.2673,5.0374,0.9343,0.0233,-0.3605,-0.1474,slope,18.0,0,8.670
820,26.24,2.2681,5.0022,0.9362,-0.0174,-0.3555,-0.0454,slope,18.0,0,8.636
830,26.56,2.2693,4.9890,0.9368,-0.0315,-0.3527,-0.0067,slope,18.0,0,8.622
840,26.88,2.2700,4.9851,0.9360,-0.0370,-0.3441,0.0086,slope,18.0,0,8.619
850,27.20,2.2700,4.9833,0.9386,-0.0375,-0.3604,0.0096,slope,18.0,0,8.617
860,27.52,2.2698,4.9816,0.9386,-0.0374,-0.3604,0.0095,slope,18.0,0,8.615
870,27.84,2.2698,4.9809,0.9386,-0.0382,-0.3603,0.0118,slope,18.0,0,8.615
880,28.16,2.2698,4.9806,0.9386,-0.0386,-0.3602,0.0128,slope,18.0,0,8.614
890,28.48,2.2698,4.9805,0.9386,-0.0387,-0.3602,0.0133,slope,18.0,0,8.614
900,28.80,2.2699,4.9804,0.9387,-0.0389,-0.3602,0.0137,slope,18.0,0,8.614
910,29.12,2.2700,4.9806,0.9387,-0.0390,-0.3602,0.0142,slope,18.0,0,8.614
920,29.44,2.2702,4.9809,0.9388,-0.0393,-0.3602,0.0151,slope,18.0,0,8.614
930,29.76,2.2705,4.9818,0.9388,-0.0399,-0.3601,0.0168,slope,18.0,0,8.615
940,30.08,2.2711,4.9836,0.9390,-0.0411,-0.3600,0.0200,slope,18.0,0,8.617
950,30.40,2.2721,4.9871,0.9392,-0.0432,-0.3598,0.0262,slope,18.0,0,8.620
960,30.72,2.2724,4.9941,0.9391,-0.0476,-0.3592,0.0388,slope,18.0,0,8.627
970,31.04,2.2721,5.0083,0.9385,-0.0565,-0.3578,0.0644,slope,18.0,0,8.641
