step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9676,-0.7750,0.1723,-0.0000,-0.0182,0.0000,flat,18.0,0,5.761
20,0.64,1.2609,-0.7808,0.1791,-0.0000,0.0025,-0.0714,flat,18.0,0,5.537
30,0.96,1.6663,-0.8359,0.1799,0.0001,-0.0000,-0.4336,flat,18.0,0,5.206
40,1.28,2.0644,-1.0709,0.1799,0.0000,-0.0001,-0.7082,flat,18.0,0,4.760
50,1.60,2.4218,-1.4288,0.1799,-0.0001,-0.0000,-0.8729,flat,18.0,0,4.255
60,1.92,2.7496,-1.8575,0.1798,-0.0003,-0.0001,-0.9739,flat,18.0,0,3.718
70,2.24,3.0595,-2.3305,0.1797,-0.0001,-0.0000,-1.0023,flat,18.0,0,3.165
80,2.56,3.3674,-2.8038,0.1797,0.0001,0.0000,-0.9758,flat,18.0,0,2.618
90,2.88,3.6860,-3.2563,0.1797,0.0002,0.0000,-0.9243,flat,18.0,0,2.085
100,3.20,4.0133,-3.6697,0.1797,0.0002,0.0001,-0.8657,flat,18.0,0,1.580
110,3.52,4.3210,-4.0163,0.1797,0.0001,0.0001,-0.8130,flat,18.0,0,1.141
120,3.84,4.5914,-4.2848,0.1797,0.0002,0.0002,-0.6918,flat,18.0,1,12.324
130,4.16,4.8189,-4.4566,0.1798,-0.0002,0.0001,-0.1093,flat,18.0,1,12.555
140,4.48,4.9974,-4.5032,0.1798,-0.0003,-0.0002,0.7229,flat,18.0,1,12.655
150,4.80,5.2032,-4.2495,0.1798,0.0005,0.0008,1.1374,rough,14.0,1,12.482
160,5.12,5.3523,-3.8452,0.1799,-0.0001,-0.0001,1.4494,flat,18.0,1,12.154
170,5.44,5.3765,-3.3654,0.1799,0.0001,-0.0000,1.8056,flat,18.0,1,11.716
180,5.76,5.2317,-2.8767,0.1799,0.0001,-0.0000,1.9971,flat,18.0,1,11.208
190,6.08,4.9910,-2.3883,0.1798,0.0003,-0.0001,2.0806,flat,18.0,1,10.665
200,6.40,4.7088,-1.8936,0.1797,0.0001,-0.0000,2.0927,flat,18.0,1,10.101
210,6.72,4.4304,-1.4011,0.1797,-0.0001,0.0000,2.0650,flat,18.0,1,9.542
220,7.04,4.1727,-0.9049,0.1797,-0.0002,0.0000,2.0154,flat,18.0,1,8.986
230,7.36,3.9407,-0.3952,0.1797,-0.0002,-0.0000,1.9584,flat,18.0,1,8.428
240,7.68,3.7357,0.1289,0.1797,-0.0002,-0.0000,1.9124,flat,18.0,1,7.865
250,8.00,3.5509,0.6645,0.1797,-0.0001,-0.0000,1.8832,flat,18.0,1,7.299
260,8.32,3.3781,1.2089,0.1797,-0.0001,-0.0000,1.8681,flat,18.0,1,6.728
270,8.64,3.2107,1.7588,0.1797,-0.0000,-0.0000,1.8646,flat,18.0,1,6.154
280,8.96,3.0440,2.3087,0.1797,0.0000,0.0000,1.8682,flat,18.0,1,5.581
290,9.28,2.8750,2.8565,0.1797,0.0000,0.0000,1.8754,flat,18.0,1,5.010
300,9.60,2.7020,3.4028,0.1797,0.0000,-0.0000,1.8830,flat,18.0,1,4.439
310,9.92,2.5248,3.9482,0.1797,0.0000,-0.0000,1.8893,flat,18.0,1,3.867
320,10.24,2.3441,4.4934,0.1797,0.0000,-0.0000,1.8936,flat,18.0,1,3.295
330,10.56,2.1612,5.0387,0.1797,0.0000,-0.0000,1.8958,flat,18.0,1,2.722
340,10.88,1.9772,5.5842,0.1797,0.0000,-0.0000,1.8964,flat,18.0,1,2.151
350,11.20,1.7991,6.1121,0.1797,-0.0000,0.0001,1.8961,flat,18.0,1,1.601
360,11.52,1.6437,6.5732,0.1797,-0.0000,0.0001,1.8954,flat,18.0,1,1.126
