step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,1.0670,-0.7750,0.1830,-0.0000,-0.0362,-0.0000,rough,14.0,0,5.686
20,0.64,1.5067,-0.7881,0.1797,-0.0000,-0.0009,-0.1486,flat,18.0,0,5.354
30,0.96,2.0246,-0.8879,0.1799,-0.0001,-0.0000,-0.3355,flat,18.0,0,4.921
40,1.28,2.5253,-1.0855,0.1799,-0.0002,-0.0000,-0.4773,flat,18.0,0,4.444
50,1.60,2.9992,-1.3534,0.1798,-0.0004,-0.0000,-0.5870,flat,18.0,0,3.941
60,1.92,3.4487,-1.6735,0.1798,-0.0003,-0.0000,-0.6679,flat,18.0,0,3.420
70,2.24,3.8717,-2.0293,0.1798,-0.0003,-0.0000,-0.7446,flat,18.0,0,2.894
80,2.56,4.2640,-2.4173,0.1798,-0.0003,-0.0000,-0.8242,flat,18.0,0,2.364
90,2.88,4.6250,-2.8361,0.1798,-0.0004,-0.0000,-0.9103,flat,18.0,0,1.832
100,3.20,4.9489,-3.2845,0.1798,-0.0004,-0.0000,-1.0099,flat,18.0,0,1.298
110,3.52,5.2244,-3.7610,0.1799,-0.0002,0.0000,-1.1409,flat,18.0,1,0.769
120,3.84,5.3087,-3.9967,0.1798,0.0008,-0.0014,-0.5828,flat,18.0,1,12.280
130,4.16,5.5227,-4.1329,0.1780,-0.0037,-0.0049,-0.1613,flat,18.0,1,12.484
140,4.48,5.8400,-4.1789,0.1798,-0.0004,-0.0001,0.3278,flat,18.0,1,12.644
150,4.80,6.1480,-4.0421,0.1799,-0.0000,-0.0001,0.6784,flat,18.0,1,12.639
160,5.12,6.4418,-3.7431,0.1799,0.0000,-0.0000,0.9412,flat,18.0,1,12.491
170,5.44,6.6930,-3.3361,0.1799,0.0000,-0.0000,1.1792,flat,18.0,1,12.241
180,5.76,6.8654,-2.8513,0.1799,0.0001,-0.0000,1.3896,flat,18.0,1,11.897
190,6.08,6.9425,-2.3203,0.1799,0.0001,0.0000,1.5674,flat,18.0,1,11.477
200,6.40,6.9277,-1.7705,0.1799,0.0002,-0.0000,1.7065,flat,18.0,1,11.002
210,6.72,6.8403,-1.2219,0.1798,0.0004,-0.0000,1.8044,flat,18.0,1,10.494
220,7.04,6.7011,-0.6805,0.1798,0.0003,-0.0000,1.8774,flat,18.0,1,9.968
230,7.36,6.5234,-0.1475,0.1797,0.0002,-0.0000,1.9343,flat,18.0,1,9.431
240,7.68,6.3159,0.3769,0.1797,0.0002,-0.0000,1.9797,flat,18.0,1,8.885
250,8.00,6.0852,0.8926,0.1797,0.0001,-0.0000,2.0155,flat,18.0,1,8.334
260,8.32,5.8362,1.4012,0.1797,0.0001,-0.0000,2.0462,flat,18.0,1,7.780
270,8.64,5.5716,1.9033,0.1797,0.0001,-0.0000,2.0729,flat,18.0,1,7.222
280,8.96,5.2937,2.3992,0.1797,0.0001,-0.0000,2.0965,flat,18.0,1,6.663
290,9.28,5.0042,2.8891,0.1797,0.0001,-0.0000,2.1177,flat,18.0,1,6.102
300,9.60,4.7042,3.3735,0.1797,0.0001,-0.0000,2.1370,flat,18.0,1,5.540
310,9.92,4.3950,3.8526,0.1797,0.0001,-0.0000,2.1548,flat,18.0,1,4.977
320,10.24,4.0772,4.3264,0.1797,0.0001,-0.0000,2.1715,flat,18.0,1,4.415
330,10.56,3.7515,4.7951,0.1797,0.0001,-0.0000,2.1876,flat,18.0,1,3.852
340,10.88,3.4183,5.2585,0.1797,0.0001,-0.0000,2.2033,flat,18.0,1,3.290
350,11.20,3.0778,5.7165,0.1797,0.0001,0.0000,2.2193,flat,18.0,1,2.730
360,11.52,2.7300,6.1686,0.1797,0.0001,0.0000,2.2364,flat,18.0,1,2.174
370,11.84,2.3745,6.6136,0.1797,0.0001,0.0000,2.2559,flat,18.0,1,1.625
380,12.16,2.0107,7.0492,0.1797,0.0001,0.0000,2.2813,flat,18.0,1,1.094
390,12.48,1.6703,7.4349,0.1798,-0.0000,0.0005,2.4082,flat,18.0,2,15.620
400,12.80,1.3801,7.6438,0.1799,-0.0002,-0.0001,2.7584,flat,18.0,2,15.612
410,13.12,0.9739,7.7807,0.1799,0.0000,-0.0000,3.0801,flat,18.0,2,15.486
420,13.44,0.4972,7.7869,0.1799,0.0000,-0.0000,-2.9391,flat,18.0,2,15.223
430,13.76,0.0031,7.6623,0.1799,0.0001,-0.0000,-2.7479,flat,18.0,2,14.851
440,14.08,-0.4792,7.4368,0.1799,0.0002,-0.0000,-2.6053,flat,18.0,2,14.406
450,14.40,-0.9368,7.1399,0.1798,0.0004,-0.0000,-2.5019,flat,18.0,2,13.918
460,14.72,-1.3718,6.7961,0.1798,0.0003,-0.0000,-2.4308,flat,18.0,2,13.404
470,15.04,-1.7838,6.4213,0.1797,0.0002,-0.0000,-2.3685,flat,18.0,2,12.878
480,15.36,-2.1746,6.0204,0.1797,0.0002,-0.0000,-2.3157,flat,18.0,2,12.340
490,15.68,-2.5464,5.5992,0.1797,0.0002,-0.0000,-2.2706,flat,18.0,2,11.796
500,16.00,-2.9017,5.1618,0.1797,0.0001,-0.0000,-2.2321,flat,18.0,2,11.245
510,16.32,-3.2423,4.7104,0.1797,0.0001,-0.0000,-2.1980,flat,18.0,2,10.690
520,16.64,-3.5693,4.2470,0.1797,0.0001,-0.0000,-2.1678,flat,18.0,2,10.131
530,16.96,-3.8836,3.7735,0.1797,0.0001,-0.0000,-2.1408,flat,18.0,2,9.569
540,17.28,-4.1863,3.2912,0.1797,0.0001,-0.0000,-2.1166,flat,18.0,2,9.004
550,17.60,-4.4783,2.8014,0.1797,0.0001,-0.0000,-2.0949,flat,18.0,2,8.438
560,17.92,-4.7605,2.3051,0.1797,0.0001,-0.0000,-2.0753,flat,18.0,2,7.870
