step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-0.1318,1.4507,0.1840,0.0002,-0.0129,0.0053,rough,14.0,0,4.147
20,0.64,0.0919,1.4451,0.1794,-0.0003,0.0014,0.2987,rough,14.0,0,4.214
30,0.96,0.3430,1.5354,0.1798,0.0000,-0.0002,0.5559,rough,14.0,0,4.212
40,1.28,0.5749,1.7130,0.1798,0.0000,-0.0003,0.7918,rough,14.0,0,4.140
50,1.60,0.7833,1.9628,0.1799,-0.0002,0.0001,1.0074,rough,14.0,0,4.013
60,1.92,0.9455,2.2703,0.1799,-0.0001,0.0001,1.1896,rough,14.0,0,3.835
70,2.24,1.0672,2.6189,0.1799,0.0001,-0.0000,1.3926,rough,14.0,0,3.624
80,2.56,1.1274,2.9995,0.1799,0.0000,-0.0000,1.6112,rough,14.0,0,3.375
90,2.88,1.1031,3.3944,0.1798,0.0001,-0.0000,1.7960,rough,14.0,0,3.080
100,3.20,0.9998,3.7927,0.1799,-0.0000,0.0001,1.9343,rough,14.0,0,2.746
110,3.52,0.8417,4.1746,0.1802,-0.0004,-0.0021,2.0523,rough,14.0,0,2.397
120,3.84,0.6417,4.5408,0.1804,-0.0003,0.0041,2.1607,rough,14.0,0,2.041
130,4.16,0.4172,4.8328,0.2046,-0.0199,-0.1519,2.2752,rough,14.0,0,1.717
140,4.48,0.1175,5.1100,0.2276,-0.1600,-0.0557,2.3972,rough,14.0,0,1.344
150,4.80,-0.1800,5.3204,0.2720,-0.2245,-0.1623,2.5572,rough,14.0,0,1.010
160,5.12,-0.5221,5.4696,0.3131,-0.3445,-0.1969,2.6422,rough,14.0,1,1.964
170,5.44,-0.8419,5.6596,0.3969,-0.3108,-0.2433,2.5265,rough,14.0,1,1.720
180,5.76,-1.1499,5.8692,0.4850,-0.3138,-0.2678,2.3818,rough,14.0,1,1.506
190,6.08,-1.4207,6.1320,0.5814,-0.2902,-0.2592,2.1934,rough,14.0,1,1.301
200,6.40,-1.6188,6.3979,0.6726,-0.2778,-0.3349,2.0682,rough,14.0,1,1.142
210,6.72,-1.7750,6.6673,0.7748,-0.2255,-0.3681,1.9072,rough,14.0,1,1.032
220,7.04,-1.8755,6.9014,0.8733,-0.1671,-0.4349,1.7482,rough,14.0,1,0.976
230,7.36,-1.9279,7.1070,0.9679,-0.0968,-0.4638,1.5879,rough,14.0,1,0.946
240,7.68,-1.9315,7.2406,1.0319,-0.0901,-0.4395,1.5908,rough,14.0,1,0.921
250,8.00,-1.9371,7.3448,1.0807,-0.0888,-0.4227,1.5928,rough,14.0,1,0.918
260,8.32,-1.9409,7.4447,1.1239,-0.0895,-0.4204,1.5816,rough,14.0,1,0.925
270,8.64,-1.9417,7.5369,1.1662,-0.0819,-0.4144,1.5744,rough,14.0,1,0.937
280,8.96,-1.9421,7.6233,1.2042,-0.0807,-0.4137,1.5719,rough,14.0,1,0.957
290,9.28,-1.9423,7.7094,1.2371,-0.0780,-0.3850,1.5656,rough,14.0,1,0.983
300,9.60,-1.9415,7.7947,1.2675,-0.0784,-0.3418,1.5634,rough,14.0,1,1.015
310,9.92,-1.9409,7.8767,1.2963,-0.0779,-0.3002,1.5605,rough,14.0,1,1.052
320,10.24,-1.9424,7.9568,1.3111,-0.0366,-0.2763,1.5226,rough,14.0,1,1.094
330,10.56,-1.9480,8.0405,1.3435,-0.0638,-0.2709,1.4915,rough,14.0,1,1.145
340,10.88,-1.9498,8.1324,1.3660,-0.0541,-0.2844,1.4235,rough,14.0,1,1.203
350,11.20,-1.9518,8.2706,1.4003,-0.0196,-0.2738,1.2117,rough,14.0,1,1.296
360,11.52,-1.8989,8.4811,1.4455,0.0143,-0.2265,0.8210,rough,14.0,1,1.417
370,11.84,-1.7825,8.6345,1.4859,0.0588,-0.2177,0.5148,rough,14.0,1,1.477
380,12.16,-1.5752,8.6830,1.5296,0.1168,-0.2152,0.1775,rough,14.0,1,1.426
390,12.48,-1.3092,8.6270,1.5559,0.2182,-0.1271,-0.1716,rough,14.0,1,1.290
400,12.80,-1.0652,8.5170,1.5635,0.2887,-0.0259,-0.3623,rough,14.0,1,1.148
410,13.12,-0.8552,8.3789,1.5594,0.3432,0.0597,-0.5316,rough,14.0,1,1.022
420,13.44,-0.6782,8.1948,1.5310,0.3705,0.1455,-0.7469,rough,14.0,1,0.893
430,13.76,-0.5152,7.9500,1.4646,0.3307,0.1956,-0.9600,rough,14.0,2,7.868
440,14.08,-0.3033,7.5874,1.3635,0.3798,0.2889,-1.0088,rough,14.0,2,7.485
450,14.40,-0.0998,7.2148,1.2146,0.3408,0.3545,-1.0617,rough,14.0,2,7.107
460,14.72,0.0943,6.8378,1.0299,0.2842,0.4454,-1.0935,rough,14.0,2,6.740
470,15.04,0.2555,6.4725,0.8252,0.2436,0.4954,-1.1425,rough,14.0,2,6.415
480,15.36,0.4105,6.1061,0.6160,0.1982,0.4537,-1.1393,rough,14.0,2,6.103
490,15.68,0.5794,5.7651,0.4531,0.2108,0.3775,-1.0526,rough,14.0,2,5.801
500,16.00,0.6621,5.6779,0.4177,0.1710,0.3453,-1.2641,rough,14.0,2,5.689
510,16.32,0.7034,5.6793,0.4229,0.0919,0.3816,-1.4816,rough,14.0,2,5.652
520,16.64,0.7139,5.6809,0.4246,0.0737,0.3881,-1.5375,rough,14.0,2,5.643
530,16.96,0.7188,5.6808,0.4250,0.0647,0.3893,-1.5640,rough,14.0,2,5.639
