step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9786,-0.8053,0.1828,0.1561,-0.1547,0.1479,rough,14.0,0,5.733
20,0.64,1.3270,-0.7760,0.1751,0.1546,0.0066,0.0234,rough,14.0,0,5.492
30,0.96,1.7219,-0.8206,0.1660,0.1380,0.0300,-0.1495,rough,14.0,0,5.178
40,1.28,2.1311,-0.9257,0.1518,0.1408,0.0687,-0.2681,rough,14.0,0,4.822
50,1.60,2.4887,-1.0574,0.1386,0.2197,-0.0382,-0.3510,rough,14.0,0,4.489
60,1.92,2.9068,-1.2516,0.0714,0.3060,0.2089,-0.3919,rough,14.0,0,4.078
70,2.24,3.2643,-1.4493,-0.0026,0.3149,0.1765,-0.4753,rough,14.0,0,3.709
80,2.56,3.6734,-1.5871,-0.0947,-0.0445,0.2027,-0.5021,rough,14.0,0,3.376
90,2.88,3.9943,-1.7736,-0.1448,-0.1525,0.1850,-0.5668,rough,14.0,0,3.061
100,3.20,4.2977,-1.9806,-0.1715,-0.1318,0.0288,-0.6699,rough,14.0,0,2.747
110,3.52,4.6479,-2.2957,-0.2280,-0.0849,0.2984,-0.8399,rough,14.0,0,2.331
120,3.84,4.8896,-2.6075,-0.2852,0.0565,0.1400,-0.9135,rough,14.0,0,1.966
130,4.16,5.0846,-2.9087,-0.2727,0.1360,-0.1772,-1.0309,rough,14.0,0,1.632
140,4.48,5.2393,-3.2702,-0.2028,0.2626,-0.2195,-1.1375,rough,14.0,0,1.255
150,4.80,5.3885,-3.6755,-0.1543,0.3221,-0.0914,-1.2074,rough,14.0,0,0.846
160,5.12,5.4390,-4.0064,-0.1851,0.3099,0.2228,-1.4838,rough,14.0,1,12.335
170,5.44,5.4003,-4.2622,-0.2498,0.0794,0.3467,-1.8752,rough,14.0,1,12.561
180,5.76,5.3077,-4.4750,-0.3073,-0.1746,0.3126,-2.3046,rough,14.0,1,12.729
190,6.08,5.1624,-4.6089,-0.3531,-0.1991,0.0804,-2.5636,rough,14.0,1,12.807
200,6.40,4.9693,-4.7083,-0.3427,-0.2211,-0.1402,-2.8327,rough,14.0,1,12.841
210,6.72,4.6511,-4.7561,-0.3817,-0.0387,0.2385,-3.1264,rough,14.0,1,12.792
220,7.04,4.2903,-4.7290,-0.4883,-0.0033,0.2949,2.9866,rough,14.0,1,12.668
230,7.36,3.9133,-4.6597,-0.6433,0.0220,0.3968,2.8965,rough,14.0,1,12.509
240,7.68,3.6034,-4.5794,-0.7262,-0.0231,0.1431,2.7741,rough,14.0,1,12.362
250,8.00,3.3080,-4.4820,-0.7484,-0.0945,-0.0606,2.6136,rough,14.0,1,12.208
260,8.32,2.9878,-4.3241,-0.7367,-0.2156,-0.1408,2.4905,rough,14.0,1,11.997
270,8.64,2.6640,-4.1392,-0.7157,-0.3307,-0.0452,2.3817,rough,14.0,1,11.765
280,8.96,2.3569,-3.8364,-0.7492,-0.4007,0.0837,2.2390,rough,14.0,1,11.425
290,9.28,2.1134,-3.5840,-0.7577,-0.4398,-0.1533,2.2378,rough,14.0,1,11.148
300,9.60,1.8927,-3.3135,-0.6793,-0.4458,-0.3670,2.2695,rough,14.0,1,10.859
310,9.92,1.7115,-3.0950,-0.5635,-0.3069,-0.5449,2.2811,rough,14.0,1,10.627
320,10.24,1.4952,-2.8623,-0.4366,-0.1970,-0.4578,2.1681,rough,14.0,1,10.383
330,10.56,1.2856,-2.5590,-0.2807,-0.2345,-0.4239,2.0823,rough,14.0,1,10.072
340,10.88,1.1018,-2.1930,-0.1660,-0.1525,-0.2545,1.9881,rough,14.0,1,9.703
350,11.20,0.9437,-1.8272,-0.0522,-0.1261,-0.2587,1.9398,rough,14.0,1,9.337
360,11.52,0.8107,-1.4313,0.0560,-0.0589,-0.2661,1.8658,rough,14.0,1,8.944
370,11.84,0.6978,-1.0042,0.1390,-0.0164,-0.1323,1.8116,rough,14.0,1,8.520
380,12.16,0.5931,-0.5836,0.1946,-0.0331,-0.0640,1.7835,rough,14.0,1,8.105
390,12.48,0.4996,-0.1674,0.2138,-0.0514,-0.0520,1.7655,rough,14.0,1,7.695
400,12.80,0.4095,0.2491,0.2254,-0.0932,-0.0335,1.7492,rough,14.0,1,7.286
410,13.12,0.3601,0.6415,0.2479,-0.0870,-0.0668,1.6073,rough,14.0,1,6.900
420,13.44,0.3576,1.0405,0.2908,-0.0625,-0.1368,1.4776,rough,14.0,1,6.503
430,13.76,0.4032,1.4083,0.3562,-0.0501,-0.2199,1.4460,rough,14.0,1,6.132
440,14.08,0.4967,1.8136,0.4047,0.0879,-0.0932,1.3571,rough,14.0,1,5.720
450,14.40,0.6236,2.2319,0.3947,0.1637,0.1172,1.2973,rough,14.0,1,5.293
460,14.72,0.7399,2.5918,0.3081,0.1774,0.3082,1.2743,rough,14.0,1,4.926
470,15.04,0.8051,2.5539,0.2963,0.1825,0.2670,1.3737,rough,14.0,1,4.961
480,15.36,0.8318,2.5479,0.2890,0.2450,0.2471,1.5216,rough,14.0,1,4.965
490,15.68,0.8384,2.5456,0.2880,0.2546,0.2420,1.5536,rough,14.0,1,4.968
500,16.00,0.8400,2.5471,0.2874,0.2561,0.2393,1.5601,rough,14.0,1,4.966
510,16.32,0.8404,2.5476,0.2872,0.2579,0.2386,1.5621,rough,14.0,1,4.965
520,16.64,0.8404,2.5479,0.2871,0.2580,0.2385,1.5618,rough,14.0,1,4.965
530,16.96,0.8404,2.5480,0.2871,0.2580,0.2386,1.5618,rough,14.0,1,4.965
540,17.28,0.8404,2.5481,0.2871,0.2579,0.2387,1.5617,rough,14.0,1,4.965
550,17.60,0.8404,2.5481,0.2871,0.2578,0.2387,1.5617,rough,14.0,1,4.965
560,17.92,0.8404,2.5481,0.2871,0.2578,0.2388,1.5618,rough,14.0,1,4.965
570,18.24,0.8404,2.5482,0.2870,0.2577,0.2388,1.5618,rough,14.0,1,4.965
580,18.56,0.8404,2.5482,0.2870,0.2577,0.2389,1.5618,rough,14.0,1,4.965
590,18.88,0.8404,2.5483,0.2870,0.2577,0.2389,1.5618,rough,14.0,1,4.965
600,19.20,0.8404,2.5483,0.2870,0.2576,0.2390,1.5618,rough,14.0,1,4.965
610,19.52,0.8404,2.5483,0.2870,0.2576,0.2390,1.5618,rough,14.0,1,4.965
620,19.84,0.8404,2.5484,0.2870,0.2576,0.2391,1.5618,rough,14.0,1,4.965
630,20.16,0.8404,2.5484,0.2869,0.2576,0.2391,1.5619,rough,14.0,1,4.965
640,20.48,0.8404,2.5484,0.2869,0.2575,0.2391,1.5619,rough,14.0,1,4.965
