step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-1.3200,0.8844,0.2281,0.0010,-0.0260,0.0050,rough,14.0,0,6.121
20,0.64,-1.1220,0.8815,0.2204,0.0115,0.0119,0.3445,rough,14.0,0,6.290
30,0.96,-0.9085,0.9632,0.2189,0.0175,0.0013,0.6934,rough,14.0,0,6.431
40,1.28,-0.7277,1.1432,0.2195,0.0157,-0.0080,0.9922,rough,14.0,0,6.502
50,1.60,-0.5688,1.3807,0.2210,0.0085,-0.0105,1.2806,rough,14.0,0,6.537
60,1.92,-0.4796,1.6818,0.2231,0.0001,-0.0050,1.5676,rough,14.0,0,6.496
70,2.24,-0.4855,2.0249,0.2237,0.0016,0.0032,1.8009,rough,14.0,0,6.366
80,2.56,-0.5814,2.3781,0.2171,0.0125,0.0201,1.9533,rough,14.0,0,6.163
90,2.88,-0.7340,2.7304,0.2114,0.0150,0.0271,2.1038,rough,14.0,0,5.920
100,3.20,-0.9505,3.0611,0.1956,-0.0074,0.0299,2.2390,rough,14.0,0,5.635
110,3.52,-1.2012,3.3699,0.1872,0.0294,0.0306,2.3544,rough,14.0,0,5.334
120,3.84,-1.5105,3.6590,0.1718,0.0087,0.0273,2.4620,rough,14.0,0,4.989
130,4.16,-1.8442,3.9185,0.1659,0.0352,0.0171,2.5622,rough,14.0,0,4.635
140,4.48,-2.2066,4.1472,0.1598,0.0333,0.0086,2.6545,rough,14.0,0,4.265
150,4.80,-2.5891,4.3406,0.1574,0.0313,0.0019,2.7345,rough,14.0,0,3.885
160,5.12,-2.9858,4.5025,0.1591,0.0260,-0.0083,2.8192,rough,14.0,0,3.499
170,5.44,-3.3977,4.6347,0.1638,0.0200,-0.0156,2.9041,rough,14.0,0,3.106
180,5.76,-3.8163,4.7320,0.1699,0.0097,-0.0201,2.9791,rough,14.0,0,2.710
190,6.08,-4.2437,4.7973,0.1788,0.0041,-0.0249,3.0640,rough,14.0,0,2.309
200,6.40,-4.6745,4.8249,0.1880,-0.0068,-0.0239,-3.1299,rough,14.0,0,1.905
210,6.72,-5.1038,4.8153,0.1969,-0.0127,-0.0231,-3.0366,rough,14.0,0,1.503
220,7.04,-5.5212,4.7652,0.2048,-0.0201,-0.0156,-3.0083,rough,14.0,0,1.110
230,7.36,-5.9325,4.6873,0.2110,-0.0695,0.0362,-2.8845,rough,14.0,1,6.744
240,7.68,-6.1175,4.6509,0.2127,-0.0296,0.0083,-2.3259,rough,14.0,1,6.931
250,8.00,-6.2610,4.4513,0.2079,-0.0245,0.0228,-2.0214,rough,14.0,1,7.089
260,8.32,-6.3455,4.1632,0.2003,-0.0152,0.0338,-1.8083,rough,14.0,1,7.204
270,8.64,-6.3890,3.8217,0.1889,-0.0061,0.0348,-1.6845,rough,14.0,1,7.299
280,8.96,-6.4120,3.4679,0.1765,0.0017,0.0361,-1.5942,rough,14.0,1,7.390
290,9.28,-6.4314,3.1924,0.1667,0.0163,0.0353,-1.2977,rough,14.0,1,7.474
