step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,2.1822,0.5010,0.1853,0.0000,-0.0444,0.0000,rough,14.0,0,6.243
20,0.64,2.6653,0.5056,0.1797,0.0001,-0.0008,0.0309,flat,18.0,0,5.774
30,0.96,3.2301,0.5298,0.1797,0.0002,-0.0001,0.0880,flat,18.0,0,5.225
40,1.28,3.7935,0.5854,0.1797,0.0002,-0.0000,0.1364,flat,18.0,0,4.670
50,1.60,4.3544,0.6678,0.1797,0.0002,-0.0000,0.1784,flat,18.0,0,4.113
60,1.92,4.9111,0.7731,0.1797,0.0001,-0.0000,0.2147,flat,18.0,0,3.554
70,2.24,5.4638,0.8985,0.1797,0.0001,-0.0000,0.2489,flat,18.0,0,2.994
80,2.56,6.0118,1.0427,0.1797,0.0001,0.0000,0.2827,flat,18.0,0,2.433
90,2.88,6.5538,1.2055,0.1797,0.0001,0.0000,0.3182,flat,18.0,0,1.873
100,3.20,7.0876,1.3876,0.1797,0.0001,0.0000,0.3591,flat,18.0,0,1.316
110,3.52,7.6091,1.5917,0.1797,0.0002,0.0000,0.4192,flat,18.0,1,5.178
120,3.84,7.9812,1.7956,0.1799,-0.0003,0.0000,0.7397,flat,18.0,1,5.253
130,4.16,8.2469,2.1131,0.1799,-0.0001,-0.0000,1.0826,flat,18.0,1,5.206
140,4.48,8.4344,2.5429,0.1799,0.0000,-0.0000,1.4189,flat,18.0,1,5.059
150,4.80,8.4818,3.0386,0.1799,0.0000,-0.0000,1.7220,flat,18.0,1,4.799
160,5.12,8.3777,3.5445,0.1799,0.0000,-0.0000,1.9521,flat,18.0,1,4.442
170,5.44,8.1561,4.0233,0.1799,0.0001,-0.0000,2.1235,flat,18.0,1,4.024
180,5.76,7.8513,4.4650,0.1799,0.0002,-0.0000,2.2551,flat,18.0,1,3.569
190,6.08,7.4893,4.8692,0.1798,0.0003,-0.0000,2.3641,flat,18.0,1,3.096
200,6.40,7.0834,5.2323,0.1798,0.0004,-0.0000,2.4769,flat,18.0,1,2.614
210,6.72,6.6375,5.5516,0.1799,0.0003,-0.0000,2.5976,flat,18.0,1,2.126
220,7.04,6.1560,5.8174,0.1799,0.0002,-0.0000,2.7334,flat,18.0,1,1.637
230,7.36,5.6457,6.0161,0.1799,0.0001,0.0000,2.9004,flat,18.0,1,1.157
240,7.68,5.1209,6.1182,0.1799,0.0003,-0.0001,3.0890,flat,18.0,2,12.909
250,8.00,4.5619,6.1339,0.1798,0.0003,0.0000,-3.1106,flat,18.0,2,12.383
260,8.32,3.9983,6.1083,0.1798,0.0003,-0.0000,-3.0432,flat,18.0,2,11.841
270,8.64,3.4360,6.0463,0.1797,0.0002,-0.0000,-2.9916,flat,18.0,2,11.291
280,8.96,2.8764,5.9561,0.1797,0.0001,-0.0000,-2.9509,flat,18.0,2,10.735
290,9.28,2.3200,5.8442,0.1797,0.0001,-0.0000,-2.9186,flat,18.0,2,10.175
300,9.60,1.7664,5.7146,0.1797,0.0001,-0.0000,-2.8914,flat,18.0,2,9.613
310,9.92,1.2154,5.5701,0.1797,0.0001,-0.0000,-2.8680,flat,18.0,2,9.048
320,10.24,0.6672,5.4130,0.1797,0.0001,-0.0000,-2.8477,flat,18.0,2,8.481
330,10.56,0.1216,5.2449,0.1797,0.0001,-0.0000,-2.8300,flat,18.0,2,7.912
340,10.88,-0.4216,5.0673,0.1797,0.0001,-0.0000,-2.8143,flat,18.0,2,7.343
350,11.20,-0.9624,4.8813,0.1797,0.0001,-0.0000,-2.8003,flat,18.0,2,6.773
360,11.52,-1.5009,4.6878,0.1797,0.0000,-0.0000,-2.7877,flat,18.0,2,6.202
370,11.84,-2.0373,4.4875,0.1797,0.0000,-0.0000,-2.7761,flat,18.0,2,5.631
380,12.16,-2.5716,4.2810,0.1797,0.0000,-0.0000,-2.7654,flat,18.0,2,5.059
390,12.48,-3.1039,4.0689,0.1797,0.0000,-0.0000,-2.7554,flat,18.0,2,4.487
400,12.80,-3.6341,3.8515,0.1797,0.0000,-0.0000,-2.7458,flat,18.0,2,3.914
410,13.12,-4.1623,3.6289,0.1797,0.0000,-0.0000,-2.7364,flat,18.0,2,3.342
420,13.44,-4.6883,3.4015,0.1797,0.0000,0.0000,-2.7269,flat,18.0,2,2.769
430,13.76,-5.2119,3.1690,0.1797,0.0000,0.0000,-2.7169,flat,18.0,2,2.197
440,14.08,-5.7327,2.9313,0.1797,0.0000,0.0000,-2.7055,flat,18.0,2,1.625
450,14.40,-6.2496,2.6876,0.1797,0.0001,0.0000,-2.6907,flat,18.0,2,1.055
460,14.72,-6.7201,2.4551,0.1798,-0.0002,0.0001,-2.5639,flat,18.0,3,10.649
470,15.04,-7.0807,2.1640,0.1799,0.0000,-0.0000,-2.3142,flat,18.0,3,10.458
480,15.36,-7.3878,1.7653,0.1799,0.0000,-0.0000,-2.0906,flat,18.0,3,10.166
490,15.68,-7.6247,1.2888,0.1799,0.0001,-0.0000,-1.8886,flat,18.0,3,9.793
500,16.00,-7.7744,0.7623,0.1799,0.0001,-0.0000,-1.7156,flat,18.0,3,9.357
510,16.32,-7.8382,0.2118,0.1799,0.0002,-0.0000,-1.5753,flat,18.0,3,8.875
