step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-0.1084,1.4507,0.1838,0.0002,-0.0176,0.0050,rough,14.0,0,4.153
20,0.64,0.1616,1.4494,0.1795,-0.0008,0.0011,0.3071,rough,14.0,0,4.231
30,0.96,0.4415,1.5512,0.1798,-0.0000,0.0003,0.5925,rough,14.0,0,4.234
40,1.28,0.7016,1.7620,0.1799,-0.0001,-0.0002,0.8109,rough,14.0,0,4.151
50,1.60,0.9225,2.0403,0.1798,0.0000,-0.0003,1.0216,rough,14.0,0,4.016
60,1.92,1.0943,2.3776,0.1799,0.0001,0.0001,1.1964,rough,14.0,0,3.833
70,2.24,1.2225,2.7472,0.1799,-0.0000,0.0001,1.4200,rough,14.0,0,3.625
80,2.56,1.2740,3.1464,0.1799,0.0000,-0.0000,1.6329,rough,14.0,0,3.374
90,2.88,1.2397,3.5531,0.1799,-0.0004,-0.0000,1.8136,rough,14.0,0,3.082
100,3.20,1.1280,3.9622,0.1799,0.0001,0.0000,1.9097,rough,14.0,0,2.753
110,3.52,0.9803,4.3660,0.1810,-0.0006,-0.0076,1.9857,rough,14.0,0,2.422
120,3.84,0.8046,4.7141,0.1970,-0.0256,-0.1049,2.1009,rough,14.0,0,2.121
130,4.16,0.6396,4.8463,0.2055,-0.0474,-0.1058,1.8401,rough,14.0,0,1.921
140,4.48,0.6149,4.8820,0.2708,-0.0203,-0.7707,1.6541,rough,14.0,0,1.886
150,4.80,0.6050,4.9513,0.2946,-2.9716,-1.4917,-1.7573,rough,14.0,0,1.857
160,5.12,0.3780,4.9781,0.1876,2.8866,-0.7169,-2.6369,rough,14.0,0,1.631
170,5.44,0.0485,4.9570,0.0876,-3.0646,0.0946,-3.0873,rough,14.0,0,1.328
180,5.76,-0.1853,4.9688,0.0406,3.0627,0.0482,-2.8647,rough,14.0,0,1.110
190,6.08,-0.2506,4.9803,0.0407,3.0681,0.0416,-2.6435,rough,14.0,0,1.047
200,6.40,-0.3154,4.9363,0.0380,3.0886,0.0488,-2.5870,rough,14.0,0,1.012
210,6.72,-0.3333,4.8630,0.0344,3.0914,0.0288,-2.6279,rough,14.0,0,1.037
220,7.04,-0.3248,4.7687,0.0300,3.1125,0.0281,-2.4965,rough,14.0,0,1.101
230,7.36,-0.3222,4.6693,0.0252,3.1205,0.0082,-2.4465,rough,14.0,0,1.168
240,7.68,-0.3243,4.5632,0.0207,3.1400,0.0035,-2.2566,rough,14.0,0,1.241
250,8.00,-0.3288,4.5199,0.0198,3.1411,-0.0024,-2.3523,rough,14.0,0,1.270
260,8.32,-0.3287,4.5101,0.0200,3.1415,-0.0007,-2.3185,rough,14.0,0,1.277
270,8.64,-0.3288,4.5003,0.0201,3.1415,-0.0003,-2.3211,rough,14.0,0,1.285
280,8.96,-0.3288,4.4904,0.0201,3.1416,-0.0001,-2.2976,rough,14.0,0,1.292
290,9.28,-0.3288,4.4805,0.0200,3.1416,-0.0001,-2.2809,rough,14.0,0,1.299
300,9.60,-0.3288,4.4707,0.0201,3.1416,-0.0000,-2.2927,rough,14.0,0,1.307
310,9.92,-0.3288,4.4608,0.0201,3.1416,-0.0000,-2.3029,rough,14.0,0,1.314
320,10.24,-0.3288,4.4509,0.0201,3.1416,-0.0000,-2.2848,rough,14.0,0,1.322
330,10.56,-0.3288,4.4411,0.0200,3.1416,-0.0000,-2.2659,rough,14.0,0,1.330
340,10.88,-0.3288,4.4312,0.0200,-3.1416,-0.0000,-2.2560,rough,14.0,0,1.337
350,11.20,-0.3288,4.4213,0.0201,-3.1416,-0.0000,-2.2747,rough,14.0,0,1.345
360,11.52,-0.3288,4.4115,0.0201,-3.1416,-0.0000,-2.2716,rough,14.0,0,1.352
370,11.84,-0.3288,4.4016,0.0200,-3.1416,0.0000,-2.2678,rough,14.0,0,1.360
380,12.16,-0.3288,4.3917,0.0201,-3.1416,0.0000,-2.3105,rough,14.0,0,1.368
390,12.48,-0.3288,4.3818,0.0201,-3.1416,0.0000,-2.1869,rough,14.0,0,1.376
400,12.80,-0.3288,4.3720,0.0202,-3.1416,0.0000,-2.2367,rough,14.0,0,1.383
410,13.12,-0.3288,4.3621,0.0202,-3.1416,0.0000,-2.2740,rough,14.0,0,1.391
420,13.44,-0.3288,4.3522,0.0202,-3.1416,0.0000,-2.1668,rough,14.0,0,1.399
430,13.76,-0.3288,4.3424,0.0202,-3.1416,0.0000,-2.2233,rough,14.0,0,1.407
440,14.08,-0.3288,4.3325,0.0202,-3.1416,0.0000,-2.2628,rough,14.0,0,1.415
450,14.40,-0.3288,4.3226,0.0202,-3.1416,0.0000,-2.1616,rough,14.0,0,1.423
460,14.72,-0.3288,4.3128,0.0202,-3.1416,0.0000,-2.2185,rough,14.0,0,1.430
470,15.04,-0.3288,4.3029,0.0202,-3.1416,0.0000,-2.2662,rough,14.0,0,1.438
480,15.36,-0.3288,4.2930,0.0202,-3.1416,0.0000,-2.1635,rough,14.0,0,1.446
490,15.68,-0.3288,4.2832,0.0202,-3.1416,0.0000,-2.2207,rough,14.0,0,1.454
500,16.00,-0.3288,4.2733,0.0202,-3.1416,0.0000,-2.1322,rough,14.0,0,1.462
510,16.32,-0.3288,4.2634,0.0202,-3.1416,0.0000,-2.1856,rough,14.0,0,1.470
520,16.64,-0.3288,4.2535,0.0202,-3.1416,0.0000,-2.2304,rough,14.0,0,1.478
530,16.96,-0.3288,4.2437,0.0202,-3.1416,0.0000,-2.1402,rough,14.0,0,1.487
540,17.28,-0.3288,4.2338,0.0202,-3.1416,0.0000,-2.1946,rough,14.0,0,1.495
550,17.60,-0.3288,4.2239,0.0202,-3.1416,0.0000,-2.1106,rough,14.0,0,1.503
560,17.92,-0.3288,4.2140,0.0202,-3.1416,0.0000,-2.1488,rough,14.0,0,1.511
570,18.24,-0.3288,4.2042,0.0202,-3.1416,0.0000,-2.2047,rough,14.0,0,1.519
580,18.56,-0.3288,4.1943,0.0202,-3.1416,0.0000,-2.1189,rough,14.0,0,1.527
590,18.88,-0.3288,4.1844,0.0202,-3.1416,0.0000,-2.1708,rough,14.0,0,1.536
600,19.20,-0.3288,4.1746,0.0201,-3.1416,0.0000,-2.0909,rough,14.0,0,1.544
610,19.52,-0.3288,4.1647,0.0201,-3.1416,0.0000,-2.1277,rough,14.0,0,1.552
620,19.84,-0.3288,4.1548,0.0201,-3.1416,0.0000,-2.1809,rough,14.0,0,1.560
630,20.16,-0.3288,4.1449,0.0201,-3.1416,0.0000,-2.0991,rough,14.0,0,1.569
640,20.48,-0.3288,4.1351,0.0201,-3.1416,0.0000,-2.1489,rough,14.0,0,1.577
650,20.80,-0.3288,4.1252,0.0201,-3.1416,0.0000,-2.1912,rough,14.0,0,1.585
660,21.12,-0.3288,4.1153,0.0201,-3.1416,0.0000,-2.1080,rough,14.0,0,1.594
670,21.44,-0.3288,4.1054,0.0201,-3.1416,0.0000,-2.1589,rough,14.0,0,1.602
680,21.76,-0.3288,4.0956,0.0201,-3.1416,0.0000,-2.0810,rough,14.0,0,1.610
690,22.08,-0.3288,4.0857,0.0201,-3.1416,0.0000,-2.1287,rough,14.0,0,1.619
700,22.40,-0.3288,4.0758,0.0200,-3.1416,0.0000,-2.1698,rough,14.0,0,1.627
710,22.72,-0.3288,4.0659,0.0201,-3.1416,0.0000,-2.0900,rough,14.0,0,1.635
720,23.04,-0.3288,4.0561,0.0201,-3.1416,0.0000,-2.1387,rough,14.0,0,1.644
730,23.36,-0.3288,4.0462,0.0201,-3.1416,0.0000,-2.0644,rough,14.0,0,1.652
740,23.68,-0.3288,4.0363,0.0200,-3.1416,0.0000,-2.1102,rough,14.0,0,1.661
750,24.00,-0.3288,4.0266,0.0200,-3.1416,-0.0000,-2.1446,rough,14.0,0,1.669
760,24.32,-0.3288,4.0179,0.0200,-3.1416,-0.0000,-2.0532,rough,14.0,0,1.677
770,24.64,-0.3288,4.0106,0.0200,-3.1415,-0.0001,-2.0631,rough,14.0,0,1.683
780,24.96,-0.3287,4.0046,0.0200,-3.1414,-0.0002,-2.0895,rough,14.0,0,1.688
790,25.28,-0.3287,4.0001,0.0200,-3.1414,-0.0002,-2.1047,rough,14.0,0,1.692
800,25.60,-0.3287,3.9969,0.0200,-3.1414,-0.0003,-2.1204,rough,14.0,0,1.695
810,25.92,-0.3287,3.9952,0.0200,-3.1414,-0.0003,-2.1359,rough,14.0,0,1.696
820,26.24,-0.3287,3.9949,0.0200,-3.1414,-0.0002,-2.0469,rough,14.0,0,1.697
830,26.56,-0.3287,3.9961,0.0200,-3.1414,-0.0002,-2.0610,rough,14.0,0,1.696
840,26.88,-0.3286,3.9986,0.0200,-3.1414,-0.0002,-2.0902,rough,14.0,0,1.693
850,27.20,-0.3286,4.0026,0.0200,-3.1414,-0.0002,-2.1056,rough,14.0,0,1.690
860,27.52,-0.3286,4.0080,0.0200,-3.1414,-0.0002,-2.1209,rough,14.0,0,1.685
870,27.84,-0.3285,4.0147,0.0200,-3.1415,-0.0001,-2.1356,rough,14.0,0,1.680
880,28.16,-0.3286,4.0227,0.0200,-3.1416,0.0000,-2.0422,rough,14.0,0,1.673
890,28.48,-0.3286,4.0318,0.0200,-3.1416,-0.0000,-2.0657,rough,14.0,0,1.665
900,28.80,-0.3286,4.0413,0.0200,-3.1416,-0.0000,-2.1122,rough,14.0,0,1.657
910,29.12,-0.3286,4.0508,0.0200,-3.1416,0.0000,-2.1526,rough,14.0,0,1.649
920,29.44,-0.3286,4.0602,0.0200,-3.1416,0.0000,-2.0757,rough,14.0,0,1.640
930,29.76,-0.3286,4.0697,0.0200,-3.1416,0.0000,-2.1229,rough,14.0,0,1.632
940,30.08,-0.3286,4.0792,0.0200,-3.1416,0.0000,-2.1638,rough,14.0,0,1.624
950,30.40,-0.3286,4.0886,0.0200,-3.1416,0.0000,-2.0850,rough,14.0,0,1.616
960,30.72,-0.3286,4.0981,0.0200,-3.1416,0.0000,-2.1332,rough,14.0,0,1.608
970,31.04,-0.3286,4.1075,0.0200,-3.1416,0.0000,-2.1748,rough,14.0,0,1.600
980,31.36,-0.3286,4.1170,0.0201,-3.1416,0.0000,-2.0941,rough,14.0,0,1.592
990,31.68,-0.3286,4.1265,0.0201,-3.1416,0.0000,-2.1433,rough,14.0,0,1.584
1000,32.00,-0.3286,4.1359,0.0201,-3.1416,0.0000,-2.1856,rough,14.0,0,1.576
1010,32.32,-0.3286,4.1454,0.0201,-3.1416,0.0000,-2.1031,rough,14.0,0,1.568
1020,32.64,-0.3286,4.1549,0.0201,-3.1416,0.0000,-2.1533,rough,14.0,0,1.560
1030,32.96,-0.3286,4.1643,0.0201,-3.1416,0.0000,-2.1963,rough,14.0,0,1.552
1040,33.28,-0.3286,4.1738,0.0201,-3.1416,0.0000,-2.1120,rough,14.0,0,1.544
1050,33.60,-0.3286,4.1833,0.0201,-3.1416,0.0000,-2.1632,rough,14.0,0,1.537
1060,33.92,-0.3286,4.1927,0.0201,-3.1416,0.0000,-2.2069,rough,14.0,0,1.529
1070,34.24,-0.3286,4.2022,0.0201,-3.1416,0.0000,-2.1208,rough,14.0,0,1.521
1080,34.56,-0.3286,4.2116,0.0201,-3.1416,0.0000,-2.1730,rough,14.0,0,1.513
1090,34.88,-0.3286,4.2211,0.0201,-3.1416,0.0000,-2.2175,rough,14.0,0,1.505
1100,35.20,-0.3286,4.2306,0.0202,-3.1416,0.0000,-2.1295,rough,14.0,0,1.497
1110,35.52,-0.3286,4.2400,0.0202,-3.1416,0.0000,-2.1827,rough,14.0,0,1.490
1120,35.84,-0.3286,4.2495,0.0202,-3.1416,0.0000,-2.2280,rough,14.0,0,1.482
1130,36.16,-0.3286,4.2589,0.0202,-3.1416,0.0000,-2.1382,rough,14.0,0,1.474
1140,36.48,-0.3286,4.2684,0.0202,-3.1416,0.0000,-2.1925,rough,14.0,0,1.466
1150,36.80,-0.3286,4.2779,0.0202,-3.1416,0.0000,-2.2379,rough,14.0,0,1.459
1160,37.12,-0.3286,4.2873,0.0202,-3.1416,0.0000,-2.1465,rough,14.0,0,1.451
1170,37.44,-0.3286,4.2968,0.0202,-3.1416,0.0000,-2.2017,rough,14.0,0,1.443
1180,37.76,-0.3286,4.3062,0.0200,-3.1416,0.0000,-2.2762,rough,14.0,0,1.436
1190,38.08,-0.3286,4.3157,0.0200,-3.1416,0.0000,-2.1922,rough,14.0,0,1.428
1200,38.40,-0.3286,4.3252,0.0201,-3.1416,0.0000,-2.2428,rough,14.0,0,1.421
1210,38.72,-0.3286,4.3346,0.0201,-3.1416,0.0000,-2.1461,rough,14.0,0,1.413
1220,39.04,-0.3286,4.3441,0.0201,-3.1416,0.0000,-2.1825,rough,14.0,0,1.406
1230,39.36,-0.3286,4.3535,0.0201,-3.1416,0.0000,-2.2375,rough,14.0,0,1.398
1240,39.68,-0.3286,4.3630,0.0201,-3.1416,0.0000,-2.2778,rough,14.0,0,1.391
