step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9574,-0.7750,0.1733,-0.0000,-0.0140,0.0000,flat,18.0,0,5.769
20,0.64,1.2173,-0.7761,0.1793,0.0000,0.0029,-0.0300,flat,18.0,0,5.573
30,0.96,1.5916,-0.8027,0.1797,-0.0002,-0.0001,-0.3460,flat,18.0,0,5.283
40,1.28,1.9955,-0.9961,0.1799,-0.0004,0.0003,-0.6608,flat,18.0,0,4.862
50,1.60,2.3587,-1.3316,0.1799,-0.0003,0.0000,-0.8479,flat,18.0,0,4.369
60,1.92,2.6885,-1.7475,0.1799,-0.0001,-0.0000,-0.9638,flat,18.0,0,3.840
70,2.24,2.9976,-2.2152,0.1799,-0.0001,0.0000,-1.0098,flat,18.0,0,3.290
80,2.56,3.3020,-2.6959,0.1799,0.0000,0.0000,-0.9943,flat,18.0,0,2.739
90,2.88,3.6107,-3.1566,0.1799,0.0002,0.0000,-0.9504,flat,18.0,0,2.206
100,3.20,3.9170,-3.5660,0.1799,0.0001,0.0000,-0.8888,flat,18.0,0,1.717
110,3.52,4.2006,-3.9005,0.1799,0.0001,0.0001,-0.8384,flat,18.0,0,1.301
120,3.84,4.4464,-4.1626,0.1799,0.0001,0.0001,-0.7816,flat,18.0,1,12.165
130,4.16,4.6508,-4.3359,0.1801,0.0021,-0.0002,-0.5268,transition,15.0,1,12.390
140,4.48,4.8056,-4.3972,0.1814,-0.0003,-0.0125,-0.1944,slope,18.0,1,12.495
150,4.80,4.9563,-4.4200,0.1875,-0.0022,-0.0505,0.2976,slope,18.0,1,12.563
160,5.12,5.1871,-4.2630,0.1989,-0.0378,-0.0756,0.5851,slope,18.0,1,12.489
170,5.44,5.4287,-3.9876,0.2098,-0.1138,-0.0572,0.9042,slope,18.0,1,12.314
180,5.76,5.6087,-3.6074,0.2128,-0.1370,0.0238,1.2235,slope,18.0,1,12.027
190,6.08,5.7301,-3.1581,0.2041,-0.1123,0.0176,1.3683,slope,18.0,1,11.662
200,6.40,5.7704,-2.6790,0.1892,-0.0508,0.0394,1.6337,slope,18.0,1,11.242
210,6.72,5.7129,-2.2432,0.1752,-0.0253,0.0008,1.8843,flat,18.0,1,10.824
220,7.04,5.5348,-1.7265,0.1796,-0.0013,0.0001,1.9483,flat,18.0,1,10.281
230,7.36,5.3219,-1.2042,0.1798,-0.0000,0.0000,1.9812,flat,18.0,1,9.719
240,7.68,5.0915,-0.6848,0.1799,0.0001,-0.0000,2.0015,flat,18.0,1,9.151
250,8.00,4.8506,-0.1659,0.1799,0.0000,-0.0000,2.0111,flat,18.0,1,8.579
260,8.32,4.6049,0.3539,0.1799,0.0000,-0.0000,2.0133,flat,18.0,1,8.004
270,8.64,4.3589,0.8738,0.1799,-0.0000,0.0000,2.0111,flat,18.0,1,7.429
280,8.96,4.1149,1.3937,0.1799,-0.0000,0.0000,2.0063,flat,18.0,1,6.855
290,9.28,3.8737,1.9146,0.1799,-0.0000,-0.0000,2.0010,flat,18.0,1,6.281
300,9.60,3.6349,2.4371,0.1799,-0.0000,-0.0000,1.9965,flat,18.0,1,5.708
310,9.92,3.3982,2.9609,0.1799,-0.0000,-0.0000,1.9932,flat,18.0,1,5.134
320,10.24,3.1627,3.4858,0.1799,-0.0000,-0.0000,1.9914,transition,15.0,1,4.559
330,10.56,2.9683,3.9199,0.1799,0.0000,0.0001,2.0083,rough,14.0,1,4.085
340,10.88,2.8006,4.2749,0.1773,0.0223,-0.0066,2.0810,rough,14.0,1,3.693
350,11.20,2.6019,4.5733,0.1886,-0.0281,-0.0207,2.1759,rough,14.0,1,3.336
360,11.52,2.4373,4.7544,0.2317,-0.1351,-0.1877,2.2304,rough,14.0,1,3.099
370,11.84,2.2553,4.9398,0.2507,-0.2396,-0.1998,2.2705,rough,14.0,1,2.852
380,12.16,2.0614,5.1284,0.3144,-0.2949,-0.2598,2.3476,rough,14.0,1,2.600
390,12.48,1.8894,5.2907,0.3733,-0.3204,-0.3031,2.3726,rough,14.0,1,2.384
400,12.80,1.6574,5.4925,0.4342,-0.3534,-0.2963,2.2325,rough,14.0,1,2.116
410,13.12,1.4597,5.7062,0.5109,-0.3563,-0.2763,2.0838,rough,14.0,1,1.857
420,13.44,1.3056,5.9482,0.5983,-0.3369,-0.3816,2.0257,slope,18.0,1,1.588
430,13.76,1.1204,6.2515,0.7479,-0.3655,-0.4118,2.1092,slope,18.0,1,1.262
440,14.08,0.9575,6.4772,0.8679,-0.4144,-0.4472,2.1956,slope,18.0,1,1.034
450,14.40,0.7568,6.7120,1.0031,-0.4435,-0.4369,2.2613,slope,18.0,2,14.492
460,14.72,0.4367,6.9819,1.1441,-0.5192,-0.3283,2.4161,slope,18.0,2,14.523
470,15.04,0.0385,7.2903,1.2766,-0.4819,-0.1732,2.5109,slope,18.0,2,14.556
480,15.36,-0.4124,7.6066,1.3466,-0.4399,-0.1446,2.5354,slope,18.0,2,14.586
490,15.68,-0.8364,7.9099,1.4082,-0.3796,-0.1258,2.5497,slope,18.0,2,14.638
500,16.00,-1.2206,8.1591,1.4463,-0.3154,-0.0803,2.6018,slope,18.0,2,14.678
510,16.32,-1.5846,8.3700,1.4642,-0.2519,-0.0242,2.6574,slope,18.0,2,14.707
520,16.64,-1.9359,8.5455,1.4500,-0.1915,0.0634,2.7050,slope,18.0,2,14.720
530,16.96,-2.2576,8.6778,1.4105,-0.1631,0.1423,2.7909,slope,18.0,2,14.715
540,17.28,-2.5509,8.7628,1.3642,-0.1455,0.1576,2.9106,slope,18.0,2,14.684
550,17.60,-2.8493,8.8112,1.3128,-0.1609,0.2190,3.0233,slope,18.0,2,14.623
560,17.92,-3.1213,8.8163,1.2565,-0.1332,0.1997,-3.1093,slope,18.0,2,14.537
570,18.24,-3.4310,8.7869,1.1920,-0.2000,0.2576,-3.0855,slope,18.0,2,14.410
580,18.56,-3.7276,8.7603,1.1227,-0.2105,0.2216,-3.0383,slope,18.0,2,14.295
590,18.88,-4.0383,8.7173,1.0516,-0.2328,0.2513,-2.9990,slope,18.0,2,14.166
600,19.20,-4.3426,8.6623,0.9763,-0.2148,0.2348,-2.9274,slope,18.0,2,14.034
610,19.52,-4.6412,8.5601,0.8989,-0.1689,0.2489,-2.7918,slope,18.0,2,13.862
620,19.84,-4.9456,8.4255,0.8232,-0.1536,0.1904,-2.7020,slope,18.0,2,13.662
630,20.16,-5.2829,8.2472,0.7491,-0.1062,0.2028,-2.6267,slope,18.0,2,13.418
640,20.48,-5.6414,8.0223,0.6629,-0.0898,0.1966,-2.5675,slope,18.0,2,13.131
650,20.80,-6.0395,7.7445,0.5469,-0.1039,0.2706,-2.5373,slope,18.0,2,12.794
660,21.12,-6.4728,7.4364,0.3818,-0.1009,0.3195,-2.5300,slope,18.0,2,12.432
670,21.44,-6.8421,7.1361,0.2641,-0.0588,0.2184,-2.3616,slope,18.0,2,12.096
680,21.76,-7.1548,6.8008,0.2055,-0.0312,0.0536,-2.1337,slope,18.0,2,11.738
690,22.08,-7.3707,6.4011,0.2080,-0.0387,-0.0323,-1.9342,flat,18.0,2,11.328
700,22.40,-7.5182,5.9053,0.1923,-0.0563,0.0367,-1.8064,flat,18.0,2,10.826
710,22.72,-7.6315,5.3713,0.1821,0.0013,0.0190,-1.7650,flat,18.0,2,10.289
720,23.04,-7.7333,4.8490,0.1797,0.0010,-0.0002,-1.7553,flat,18.0,2,9.765
730,23.36,-7.8251,4.3463,0.1822,0.0036,-0.0116,-1.7354,flat,18.0,2,9.261
740,23.68,-7.9042,3.8668,0.1960,0.0101,-0.0336,-1.7217,flat,18.0,2,8.781
750,24.00,-7.9748,3.4065,0.2211,0.0227,-0.0473,-1.7093,slope,18.0,2,8.321
760,24.32,-8.0322,2.9374,0.2246,0.0077,0.0234,-1.6553,flat,18.0,2,7.853
770,24.64,-8.0607,2.4795,0.1969,-0.0027,0.0767,-1.6022,slope,18.0,2,7.396
780,24.96,-8.0701,2.0474,0.1794,0.0006,-0.0030,-1.5506,flat,18.0,2,6.964
790,25.28,-8.0564,1.5999,0.1798,0.0002,-0.0003,-1.4931,flat,18.0,2,6.516
800,25.60,-8.0177,1.1496,0.1799,0.0002,-0.0000,-1.4383,flat,18.0,2,6.065
810,25.92,-7.9525,0.7013,0.1850,-0.0060,-0.0503,-1.3970,flat,18.0,2,5.616
820,26.24,-7.8675,0.2334,0.2163,-0.0055,-0.0475,-1.3849,slope,18.0,2,5.148
830,26.56,-7.7651,-0.2736,0.2183,-0.0166,0.0453,-1.3703,flat,18.0,2,4.643
840,26.88,-7.6570,-0.7900,0.1977,-0.0175,0.0565,-1.3535,slope,18.0,2,4.131
850,27.20,-7.5414,-1.3185,0.1803,0.0018,0.0013,-1.3435,flat,18.0,2,3.613
860,27.52,-7.4233,-1.8401,0.1811,0.0088,0.0025,-1.3432,flat,18.0,2,3.110
870,27.84,-7.3193,-2.3027,0.1799,0.0333,0.0048,-1.3393,flat,18.0,2,2.674
880,28.16,-7.2074,-2.7671,0.1900,-0.0241,-0.0016,-1.3787,flat,18.0,2,2.254
890,28.48,-7.1132,-3.2239,0.1884,-0.0669,0.0052,-1.3902,flat,18.0,2,1.862
900,28.80,-7.0353,-3.6584,0.1890,-0.0433,0.0081,-1.4205,flat,18.0,2,1.522
910,29.12,-6.9835,-4.0055,0.1798,-0.0087,-0.0096,-1.7201,flat,18.0,2,1.287
920,29.44,-7.0583,-4.3401,0.1826,-0.0001,-0.0157,-1.9364,flat,18.0,2,1.014
930,29.76,-7.2192,-4.6716,0.1818,0.0103,0.0180,-2.1081,flat,18.0,3,1.220
940,30.08,-7.4058,-4.9286,0.1829,0.0140,0.0039,-2.4088,flat,18.0,3,1.014
950,30.40,-7.7595,-5.2254,0.1761,0.0001,0.0235,-2.5216,flat,18.0,0,13.123
960,30.72,-8.1413,-5.5083,0.1796,0.0002,0.0016,-2.4654,flat,18.0,0,13.522
970,31.04,-8.4430,-5.7609,0.1842,0.0232,-0.0011,-2.3607,flat,18.0,0,13.843
980,31.36,-8.6675,-5.9823,0.1856,0.0280,-0.0040,-2.2349,flat,18.0,0,14.088
990,31.68,-8.8344,-6.1957,0.1849,0.0234,-0.0012,-2.0978,flat,18.0,0,14.278
1000,32.00,-8.9651,-6.4280,0.1804,-0.0009,0.0013,-1.8997,flat,18.0,0,14.436
1010,32.32,-9.0485,-6.6503,0.1829,0.0111,-0.0002,-1.6701,flat,18.0,0,14.550
1020,32.64,-9.0807,-6.8670,0.1825,0.0100,-0.0029,-1.4088,flat,18.0,0,14.615
1030,32.96,-9.0565,-7.0770,0.1840,0.0166,-0.0024,-1.2013,flat,18.0,0,14.626
1040,33.28,-8.9801,-7.2760,0.1847,-0.0007,-0.0171,-1.0568,flat,18.0,0,14.587
1050,33.60,-8.8587,-7.4822,0.1883,0.0131,-0.0061,-0.9488,flat,18.0,0,14.509
1060,33.92,-8.6926,-7.7014,0.1844,0.0237,0.0122,-0.8457,flat,18.0,0,14.393
1070,34.24,-8.4702,-7.9314,0.1818,0.0122,-0.0004,-0.7702,flat,18.0,0,14.230
1080,34.56,-8.1866,-8.1934,0.1799,0.0001,-0.0000,-0.7103,flat,18.0,0,14.021
1090,34.88,-7.8835,-8.4424,0.1799,0.0001,0.0000,-0.6527,flat,18.0,0,13.797
1100,35.20,-7.6068,-8.6435,0.1801,-0.0012,-0.0003,-0.5752,flat,18.0,0,13.592
1110,35.52,-7.3619,-8.8026,0.1839,0.0166,-0.0082,-0.5017,flat,18.0,0,13.409
1120,35.84,-7.1247,-8.9230,0.1878,0.0144,-0.0214,-0.4397,flat,18.0,0,13.224
1130,36.16,-6.9191,-9.0245,0.1933,0.0287,0.0082,-0.3795,flat,18.0,0,13.065
1140,36.48,-6.7322,-9.1006,0.1951,0.0430,-0.0185,-0.3293,flat,18.0,0,12.916
1150,36.80,-6.5597,-9.1658,0.1938,0.0687,0.0035,-0.2852,slope,18.0,0,12.779
1160,37.12,-6.3681,-9.2155,0.1941,0.0602,0.0162,-0.1958,slope,18.0,0,12.619
1170,37.44,-6.1955,-9.2555,0.1913,0.0593,-0.0001,-0.0669,slope,18.0,0,12.474
1180,37.76,-6.0251,-9.2744,0.1903,0.0532,0.0000,0.0617,slope,18.0,0,12.324
