step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9653,-0.7647,0.3572,-0.1806,-0.1442,0.3078,rough,14.0,0,5.769
20,0.64,1.2229,-0.6833,0.4213,-0.1303,-0.2695,0.2778,rough,14.0,0,5.631
30,0.96,1.5289,-0.5904,0.5095,-0.1153,-0.3134,0.1724,rough,14.0,0,5.478
40,1.28,1.8247,-0.5396,0.6178,-0.0874,-0.3973,0.0999,rough,14.0,0,5.314
50,1.60,2.1096,-0.5070,0.7392,-0.0786,-0.4067,0.0724,rough,14.0,0,5.155
60,1.92,2.3729,-0.4817,0.8614,-0.0855,-0.4527,0.0881,rough,14.0,0,5.014
70,2.24,2.6185,-0.4490,0.9801,-0.1029,-0.4500,0.1407,rough,14.0,0,4.900
80,2.56,2.8175,-0.3947,1.0767,-0.1477,-0.4495,0.2563,rough,14.0,0,4.838
90,2.88,3.0035,-0.3232,1.1680,-0.1672,-0.4429,0.3149,rough,14.0,0,4.806
100,3.20,3.1989,-0.2450,1.2624,-0.1531,-0.4395,0.3037,rough,14.0,0,4.784
110,3.52,3.4121,-0.1531,1.3628,-0.1116,-0.4323,0.2354,rough,14.0,0,4.776
120,3.84,3.6226,-0.0717,1.4618,-0.0880,-0.4369,0.1898,rough,14.0,0,4.770
130,4.16,3.8179,-0.0023,1.5501,-0.0862,-0.4127,0.1919,rough,14.0,0,4.769
140,4.48,3.9949,0.0557,1.6275,-0.0908,-0.4051,0.2142,rough,14.0,0,4.771
150,4.80,4.1706,0.1037,1.7016,-0.0834,-0.3897,0.1990,rough,14.0,0,4.771
160,5.12,4.3470,0.1610,1.7764,-0.0779,-0.3767,0.1890,rough,14.0,0,4.787
170,5.44,4.5395,0.2033,1.8525,-0.0387,-0.3769,0.1027,rough,14.0,0,4.792
180,5.76,4.7321,0.2287,1.9266,-0.0236,-0.3610,0.0578,rough,14.0,0,4.788
190,6.08,4.9217,0.2444,1.9945,-0.0417,-0.3499,0.0353,rough,14.0,0,4.783
200,6.40,5.1011,0.2467,2.0642,-0.0087,-0.3504,0.0141,rough,14.0,0,4.773
210,6.72,5.2700,0.2511,2.1245,-0.0105,-0.3403,0.0248,rough,14.0,0,4.772
220,7.04,5.4268,0.2611,2.1799,-0.0216,-0.3352,0.0516,rough,14.0,0,4.782
230,7.36,5.5858,0.2779,2.2345,-0.0200,-0.3310,0.0577,rough,14.0,0,4.804
240,7.68,5.7469,0.2952,2.2893,-0.0194,-0.3267,0.0576,rough,14.0,0,4.832
250,8.00,5.8870,0.3149,2.3367,-0.0363,-0.3209,0.1116,rough,14.0,0,4.866
260,8.32,6.0313,0.3378,2.3846,-0.0407,-0.3183,0.1312,rough,14.0,0,4.906
270,8.64,6.2022,0.3637,2.4411,-0.0181,-0.3185,0.0627,rough,14.0,0,4.959
280,8.96,6.3575,0.3826,2.4923,-0.0156,-0.3170,0.0552,rough,14.0,0,5.006
290,9.28,6.4928,0.4007,2.5366,-0.0293,-0.3152,0.1025,rough,14.0,0,5.053
300,9.60,6.6332,0.4204,2.5824,-0.0319,-0.3140,0.1142,rough,14.0,0,5.106
310,9.92,6.7968,0.4423,2.6359,-0.0109,-0.3148,0.0492,rough,14.0,0,5.171
320,10.24,6.9402,0.4584,2.6827,-0.0148,-0.3152,0.0625,rough,14.0,0,5.228
330,10.56,7.0638,0.4794,2.7230,-0.0335,-0.3135,0.1261,rough,14.0,0,5.287
340,10.88,7.2048,0.5027,2.7690,-0.0263,-0.3140,0.1049,rough,14.0,0,5.356
350,11.20,7.3630,0.5224,2.8207,-0.0057,-0.3156,0.0418,rough,14.0,0,5.432
360,11.52,7.5041,0.5337,2.8669,-0.0063,-0.3162,0.0440,rough,14.0,0,5.496
370,11.84,7.6246,0.5508,2.9064,-0.0237,-0.3155,0.1023,rough,14.0,0,5.560
380,12.16,7.8132,0.5715,2.9215,-0.0027,-0.0380,0.0309,rough,14.0,0,5.659
390,12.48,8.2023,0.5058,2.8057,0.0707,0.6462,-0.3376,rough,14.0,0,5.782
400,12.80,8.3458,0.2312,2.6916,0.8981,0.8312,-0.2703,rough,14.0,0,5.620
410,13.12,8.4371,-0.0314,2.5590,0.8512,0.7138,-0.6526,rough,14.0,0,5.451
420,13.44,8.5149,-0.2818,2.3850,0.4650,0.1954,-1.4039,rough,14.0,0,5.293
430,13.76,8.5468,-0.6563,2.2671,0.1934,0.2003,-1.5487,rough,14.0,0,5.018
440,14.08,8.6545,-1.0457,2.2475,-0.3030,0.1485,-1.6352,rough,14.0,0,4.799
450,14.40,8.7090,-1.3272,2.2220,-0.3930,-0.2303,-1.6521,rough,14.0,0,4.638
460,14.72,8.7222,-1.6753,2.3095,-0.4599,-0.3782,-1.6972,rough,14.0,0,4.416
470,15.04,8.7640,-1.9624,2.4127,-0.5615,-0.5504,-1.6031,rough,14.0,0,4.270
480,15.36,8.7923,-2.2628,2.5643,-0.6413,-0.6001,-1.5497,rough,14.0,0,4.121
490,15.68,8.8020,-2.5351,2.7518,-0.5806,-0.6318,-1.5380,rough,14.0,0,3.987
500,16.00,8.8335,-2.7732,2.9232,-0.6489,-0.7052,-1.4318,rough,14.0,0,3.902
510,16.32,8.8711,-2.9955,3.0774,-0.5552,-0.6390,-1.4157,rough,14.0,0,3.842
520,16.64,8.9173,-3.2052,3.2205,-0.5069,-0.6345,-1.4367,rough,14.0,0,3.807
530,16.96,9.0133,-3.3477,3.2814,-0.5635,-0.6030,-1.2986,rough,14.0,0,3.851
540,17.28,9.1292,-3.4554,3.3121,-0.4606,-0.6715,-1.4293,rough,14.0,0,3.931
