scene,controller,completed,reached,total_waypoints,steps,sim_time_s,path_length_m,avg_speed_mps,speed_std_mps,yaw_smoothness_rad,collisions
flat_clear,baseline,True,4,4,1043,33.25,58.372,1.756,0.158,0.01899,0
flat_clear,optimised,True,4,4,1136,36.22,58.608,1.618,0.373,0.03517,0
flat_obstacles,baseline,True,4,4,1138,36.29,63.925,1.762,0.148,0.01294,0
flat_obstacles,optimised,True,4,4,1223,39.01,63.989,1.64,0.358,0.03315,0
cluttered_field,baseline,False,0,3,5000,160.0,7.787,0.049,0.287,0.00179,4854
cluttered_field,optimised,True,3,3,1796,57.38,93.997,1.638,0.311,0.03428,0
slope_climb,baseline,False,0,2,5000,160.0,10.139,0.063,0.327,0.00158,4812
slope_climb,optimised,True,2,2,799,25.5,37.994,1.49,0.512,0.06201,0
rough_zigzag,baseline,False,3,4,5000,159.9,43.536,0.272,0.544,0.00847,3980
rough_zigzag,optimised,True,4,4,1549,49.44,62.341,1.261,0.226,0.01841,0
transition_corridor,baseline,True,4,4,1496,47.74,70.271,1.472,0.111,0.01036,0
transition_corridor,optimised,True,4,4,1638,52.29,71.036,1.359,0.317,0.03625,0
